id,time,director,year,star1,star2,star3,star4,star5,star6,rotten_tomatoes,audience_rating,review1,review2,review3,review4,review5
3663,1 hr. 22 min.,Catherine Breillat,2011,Carla Besainou,Carla BesnaÃ¯nou,Julia Artamonov,Kerian Mayan,David Chausse,,74,46,"Enchanting, a bedtime story told by a wickedly literate aunt with a gleam in her eye.","Sly and playful, it's a beauty.","Young BesnaÃ¯nou is so lovely that her solemn independence is a wonder to behold, and her early adventures retain an eerie and compelling charm.","Heartwarming entertainment, gorgeously rendered by cinematographer Denis Lenoir.","The pleasures of Ms. Breillat's work are its commitment and seriousness and its raw, sometimes very funny perversity: she's lets everything hang out, without apologies."
3664,1 hr. 27 min.,Matthew Porterfield,2011,Sky Ferreira,Zoe Vance,"""James Siebor, Jr""",Dustin Ray,"Charles ""Spike"" Saue...",Catherine Evans,75,52,"This curious blend of documentary and narrative, held together less by any plot device than by a rigorous aesthetic, proves all the more effective for being in service of casual naturalism.","Points must be awarded for nerve, but virtually every aspect of this misbegotten film misfires.","Porterfield's rejection of obvious irony makes this not only a warm film, but one which shows the real face of America's poor, young and disenfranchised.","With ""Putty Hill,"" Porterfield joins the company of American indie directors Ramin Bahrani and Kelly Reichardt, filmmakers often compelled to seek out everyday souls in their textured, oh-so quotidian environs.","It looks closely, burrows deep, considers the way in which lives have become pointless and death therefore less meaningful."
3665,1 hr. 37 min.,GÃ©la Babluani,2011,Sam Riley,Mickey Rourke,Jason Statham,Ray Winstone,Emmanuelle Chirqui,50 Cent,8,34,"GÃ©la Babluani's English-language remake of his French debut loses the source's gritty, mysterious gloom.","""13'' is Gela Babluani's American remake of his successful 2005 Georgian-language film ""13 Tzameti.'' He should have left well enough alone.","A tense, paranoid nightmare with a chilly metaphysical overview has been trampled into a blustering, bad cartoon.",Making a film about the cutthroat world of Russian Roulette is a little like making a gambling thriller about the card game War.,A starry cast and glossier production values simply work against the black-and-white original's strengths in this stillborn thriller.
3666,2 hr. 10 min.,Robert Aldrich,1968,Kim Novak,Peter Finch,Ernest Borgnine,Rossella Falk,Milton Selzer,Gabriele Tinti,0,41,,An expose on the inside Hollywood scene.,,,
3667,1 hr. 32 min.,Jino Kang,2011,Bill Duff,Jino Kang,Gina Baretta,John Carney,Mickey Casab,Melissa Tan,0,25,,,,,
3668,2 hr. 11 min.,David Yates,2011,Daniel Radcliffe,Rupert Grint,Emma Watson,Ralph Fiennes,Michael Gambon,Alan Rickman,96,89,"For 10 years and eight films we've gotten to watch these young actors grow as people, as performers and as characters. It has been a true coming-of-age saga, in the fullest and most moving sense of the term.","The final instalment, Deathly Hallows Part 2, is a bravura duel between good and evil. It's also a cathartic, occasionally clunky nostalgiafest.","Come the conclusion, tears no doubt will be shed, probably by those more devoted than I. Whether they cry because of overwhelming emotion or in mourning an era's end, I'm not sure. Probably both.","Radcliffe retains an endearingly owlish demeanor. But he also captures the quiet determination of a young man determined to confront his life-or-death destiny -- making the world safe for good folks, wizards and Muggles alike -- with admirable aplomb.","It's a bittersweet end as the final adaptation of the beloved books hits the big screen. Expect tears, both from nostalgia and some truly amazing storytelling."
3669,1 hr. 26 min.,Susan Streitfeld,2011,David O'Hara,Joanne Whalley,Frances Fisher,Julian Sands,Malcolm McDowell,Mason Gamble,0,37,"For anyone coming in cold, this can be a ponderous cinematic experience.","Golf may be the world's dullest spectator sport, not counting soccer: it takes a long time for not much to happen. By that standard, ""Golf in the Kingdom"" captures the game perfectly.",A story comprised of pretentious meditative fragments.,,"Filmmaker Susan Streitfeld takes all of the mysticism at face value, shutting the audience out of pleasures that are discussed but rarely shown."
3670,1 hr. 50 min.,Aleksandr Buravsky,2011,Gabriel Byrne,Mira Sorvino,Alexander Abdulov,Armin Mueller-Stahl,Olga Sutulova,Alena Stebunova,0,43,,,,,
3671,1 hr. 39 min.,Tom Hanks,2011,Tom Hanks,Julia Roberts,Gugu Mbatha-Raw,Cedric the Entertain...,Wilmer Valderrama,Taraji P. Henson,35,41,An exceedingly minor entry on already impressive resumÃ©s.,"To pluck romantic comedy from the jaws of a social crisis is a laudable project, worthy of Preston Sturges, and it's a pity that this featherlight drama-written by Tom Hanks and Nia Vardalos, and directed by Hanks himself-should falter in its task.","But with such timely material and a stellar cast, it comes off mostly as a missed opportunity.","Bereft of conflict, the film coasts along in second gear on breezy charm, gentle humanism and star wattage.",Hanks' dorky routine - right on through to the ridiculous ELO-soundtracked end credits as he and Roberts drives around on a scooter in front of a green screen - is thankfully not as draining as one may assume.
3672,1 hr. 40 min.,Julie Bertuccelli,2011,Charlotte Gainsbourg,Marton Csokas,Morgana Davies,Aden Young,Gillian Jones,Penne Hackforth-Jone...,73,53,"It's well worth seeing the performance of young Morgana Davies as Simone, a child who becomes convinced that her late father speaks and listens to her through the comforting branches of the tree next to her house.","In the end, The Tree is something of a stretch; but it's a good stretch, a mix of mysticism and family dynamics both satisfying and intriguing.","""The Tree"" might have suffered from too much symbolism if not for writer-director Julie Bertuccelli's deft touch and Gainsbourg's appealing performance.","Despite the potential for some supernatural grandiosity, the tone here remains understated and quiet, and Gainsbourg's performance feels lived-in, and deep, and right.","The arboreal metaphor is overworked as the tree's roots choke off the rural home's water supply, but the story has a winning, fable-like directness."
3673,1 hr. 29 min.,Ryan S. Richmond,2011,Aunjanue Ellis,Terri Abney,James Whalen,Victoria Wallace,,,0,88,,,,,
3674,2 hr. 10 min.,Chen Jin,2011,Francis Ng,Jiang Wu,Jing Tian,Kim Hee-Sun,Honglei Sun,Kiichi Nakai,40,44,"A morass of melodramatic romance, torture, and suicide.","The writer, Shen Jian, and the director, Jing Chen, have made no concessions to the non-Chinese viewer in their compressed, chaotic narrative.",This busy attempt at merging large-scale CGI action filmmaking with outsized historical drama is unremarkable.,,Thrilling and exhilarating. Prepare to be at the edge of your seat from start to finish.
3675,1 hr. 24 min.,Benjamin Cantu,2011,Lukas Stettner,Kai Michael MÃ_ller,Steven Baade,Florian Born,,,0,54,,,,,
3676,1 hr. 33 min.,Leon Ford,2011,Ryan Kwanten,Maeve Dermody,Marshall Napier,Heather Mitchell,Toby Schmitz,Kelly Paterniti,62,52,"Struggles heroically, but unsuccessfully, to strike a balance between whimsy and pathos.","Griff seems a little too psychologically damaged to laugh at. On the other hand, for a drama, his behavior is way too silly to take seriously.","It tries too hard to be eccentric, kooky. So hard, it can be downright annoying.","Something clicks here. Physically as well as verbally, these kids are speaking their own language.","The touches of magical realism begin to feel gimmicky. By the final frame, this romance never feels real enough."
3677,1 hr. 44 min.,Mike Mills (II),2011,Ewan McGregor,Christopher Plummer,Goran Visnjic,Kai Lennox,Mary Page Keller,MÃ©lanie Laurent,84,77,"""Beginners"" ultimately becomes so deeply resonant that you should pack some Kleenexes just in case.",Mills needs to look up from the lint that's collected in his navel.,"Mike Mills treats love and loss with a disarming tenderness and a refusal of sentimentality that make Beginners, his second feature, something of an anomaly among male identity flicks. What a finely wrought, wryly funny, transcendently sad movie this is.",It understands death better than it understands life; it understands memories more than it understands what to learn from them.,"Beginners, beyond its pervasive atmosphere of melancholy and loss, suffers from a little self-indulgence. It's your typical indie drama."
3678,1 hr. 45 min.,Evan Glodell,2011,Evan Glodell,Jessie Wiseman,Tyler Dawson,Rebekah Brandes,Vincent Grashaw,Jack Kraus,74,63,Bellflower revs the engine of an exciting new maverick.,"Mr. Glodell's sexist, one-dimensional depiction of women notwithstanding, he also seems to champion domestic abuse when justified by infidelity.","Girls, be careful how you break up with a guy who owns his own flamethrower.",Glodell's debut is undoubtedly an immature work but it's such a genuine and energetic achievement that the flaws ultimately don't matter. Bellflower is an amazing mess.,Bellflower is an all around great movie that benefits from excellent filmmaking and gorgeous cinematography.
3679,1 hr. 37 min.,Kim St. Leon,2010,Henry Dittman,Mark Whittington,Kyle Lupo,Leif Holt,Karin Slater,Raphael Sanchez,0,29,,,,,
3680,1 hr. 30 min.,Alan Brown,2007,Dash Mihok,Spencer Treat Clark,Michael Borrelli,J.D. Daniels,Nancy Giles,Margo Martindale,0,75,,,,,
3681,1 hr. 33 min.,John Doyle,2011,Ellen Burstyn,Colin Firth,Patricia Clarkson,Megan Ellison,Orlando Bloom,Amber Tamblyn,13,11,"With diorama staging and repetitive medium and long shots, stage director turned moviemaker John Doyle creates rigor mortis on film.",,"It's not groundbreaking, but it's pleasant enough.",Like a small firecracker that turns out to be a dud..as dead as the city it depicts..Durham ought to sue for libel.,"Main Street is an ensemble drama that functions as a display case for a range of regional drawls, from the authentic to absurd."
3682,2 hr. 41 min.,Victor Saville,1947,Lana Turner,Patrick Aherne,Van Heflin,Donna Reed,Richard Hart,Frank Morgan,0,73,,,,,
3683,2 hr. 1 min.,Anthony Mann,2000,Mario Lanza,Joan Fontaine,Sarita Montiel,Vincent Price,Joseph Calleia,Harry Bellaver,0,33,Sentimental tearjerker romantic drama directed with skill by the great Anthony Mann.,,,,
3684,1 hr. 34 min.,W.S. Van Dyke,1940,Jeanette MacDonald,Nelson Eddy,George Sanders,Ian Hunter,Felix Bressart,Edward Ashley,0,60,"Made at the height of their popularity, this charming Nelson Eddy-Jeanette MacDonald operetta was nominated for two Oscars, cinematography and Art Direction.",,,,
3685,1 hr. 35 min.,Darren Lynn Bousman,2011,Timothy Gibbs,Wendy Glenn,Michael Landes,Denis Rafter,LluÃ_s Soler,SalomÃ© JimÃ©nez,7,17,"If the ineffectiveness knob goes up to ten, this film manages to turn it up to you-know-what.","If only ""11-11-11"" had arrived a little closer to Thanksgiving - the turkey connection would have been entirely appropriate.",One and one (and one and one and one and one) never quite add up to two.,"Despite a good lead performance and a few cool ideas, 11-11-11 is also packed with a lot of airy chit-chat that either repeats established ideas or simply goes nowhere.","With 11-11-11, Darren Lynn Bousman is merely insulting the audience with this poor excuse for a plot and its ludicrous ending"
3686,1 hr. 41 min.,John Sturges,1951,Spencer Tracy,Pat O'Brien,Diana Lynn,John Hodiak,Eduardo Ciannelli,James Arness,0,22,It's not the usual strong role Spencer Tracy is noted for.,,,,
3687,1 hr. 48 min.,Martin Rutley,2011,Noel Forsythe,Lienite Ozolina,Jon Stoley,,,,0,100,,,,,
3688,1 hr. 48 min.,Lee Tamahori,2011,Dominic Cooper,Ludivine Sagnier,Raad Rawi,Philip Quast,Mimoun OaÃ¯ssa,Dar Salim,52,65,"Equally as offensive as the movie's smorgasbord of smut and violence is the lingering whiff of colonial-era orientalism, a Western predilection for regarding Eastern cultures as innately idle, lascivious, irrational, and thus ripe for intervention.","It is a ghastly, riveting, dazzling piece of work.","Cooper is great, in a great part. But for an actor, not for his audience.","The Devil's Double is a fantastic film that features a central performance so compelling, you'd be foolish to look away even for a second.",Dominic Cooper is bloody brilliant.
3689,1 hr. 30 min.,Steve Williford,2011,Jason Butler Harner,Cheyenne Jackson,Julia Ormond,Illeana Douglas,Karen Young,Bill Sage,0,43,"Bare-budget drama of gay male couple whose ""accepted"" existence in a small Connecticut town gets overturned when the teacher half is accused of impropriety.","Three-fifths of a good movie -- a generally well sketched drama that fumbles away its accrued admiration late in the third act, with a twist that feels like a sop to audiences of small screen procedurals.",Worth tracking down to its digital release platforms..It will force you to deal with prejudices you may not even know you had.,,
3690,1 hr. 35 min.,Cole Mueller,2011,David J. Phillips,Christopher Redman,Kris Lemche,David Phillips,Darell Davenport,Nathan Marlow,0,59,,,,,
3691,1 hr. 29 min.,John Bonito,2011,Maria Bello,Stephen Dorff,Gary Grubbs,Connor Hill,Catherine Dent,Joanna Cassidy,0,19,...a disappointingly disposable thriller that simply isn't as good as it could (and should) have been.,,,,
3692,1 hr. 18 min.,Bruce McDonald,2011,Molly Parker,Tracy Wright,Don McKellar,Callum Keith Rennie,Sarah Polley,,80,63,"A mesmerizing talk-a-thon with smart, useful things to say about life, love and rock 'n' roll.","Shot simply but compellingly, it feels like a polished and practised portrait of rekindled bonds.",,...an aimless and stagy piece of work that fizzles out to an increasingly (and distressingly) demonstrable degree as it progresses.,
3693,1 hr. 51 min.,Gilles Paquet-Brenner,2011,Kristin Scott Thomas,MÃ©lusine Mayance,Niels Arestrup,Frederic Pierrot,Michel Duchaussoy,Dominique Frot,72,83,"Thomas carries the weight of the movie, and her usual sangfroid works against her; when she finally makes contact with the deported couple's grandson, the story crumples into sentimentality",Scott Thomas's portrayal of her character's emotional transition ensures Sarah's Key will keep your heart open.,"French director Paquet-Brenner occasionally yields to melodrama, particularly in the final act, but he is resolute about not depicting all of his countrymen as Nazi stooges, since many weren't.",Isn't it a little early in the year for Harvey Weinstein to be grubbing for Oscars already?,"Well executed and avoids histrionic manipulation, allowing just enough breathing room without truncating the raw emotion of the book."
3694,1 hr. 27 min.,Vivi Friedman,2011,Dermot Mulroney,Hope Davis,Chi McBride,Brittany Robertson,Selma Blair,Keith Carradine,10,26,"To judge from the talent she drew for her shaky debut, Vivi Friedman must either be very well connected or an awfully smooth talker.","""Mad Men"" devotees may show up for Christina Hendricks, who plays Mulroney's buxom secretary. Quite the acting stretch.","Friedman's inability to successfully reconcile the film's duality undercuts an eclectic cast gamely committed to Mark Lisson's thematically ambitious, if scattered, script.","The only reason I can think of to watch Vivi Friedman's flat, satirical farce ""The Family Tree"" - and it's not a good enough reason - is the opportunity to play a game of spot the semi-star.",[It makes] a small case for not succumbing to nostalgic malaise -- too bad it's in a genre as played-out as [the] lead characters' passion.
3695,2 hr. 34 min.,Tyler Perry,2011,Tyler Perry,Cassi Davis,Cheryl Pepsii Riley,Chandra Currelley-Yo...,Tony Grant (IV),Patrice Lovely,0,80,,,,,
3696,2 hr. 6 min.,King Vidor,1940,Spencer Tracy,Robert Young,Ruth Hussey,Addison Richards,Montagu Love,Isabel Jewell,100,70,,,,,A rousing adventure story of epic proportions.
3697,1 hr. 52 min.,Edmund Goulding,1943,Joan Fontaine,Charles Boyer,Alexis Smith,Jean Muir,Charles Coburn,Brenda Marshall,0,77,,This Hollywood romantic drama is star Joan Fontaine's favorite of all her films.,The Constant Nymph's most telling moments slip by rather than announce themselves.,"Joan Fontaine received her third and last Oscar nomination for this romantic melodrama, well played by Charles Boyer.",
3698,1 hr. 30 min.,Mickey Blaine,2008,Nicole Blaine,Forest Erickson,,,,,0,0,,,,,
3699,1 hr. 22 min.,Annabel Park,2010,Greg Letiecq,Corey A. Stewart,Charlie T. Deane,Gaudencio Fernandez,Alanna Almeda,Elena Schlossberg,92,84,"9500 Liberty is not just about the clash of immigrant Hispanics and white nativists, but about what happens when a community's civic machinery is hijacked by ideologues and extremists -- and what exactly it takes for the silent center to push back.","A compelling glimpse of a community and, by extension, a country, in the throes of change.",Park and Byler began as objective documentarians who found this story being pressed upon them. They become advocates and are clear about that.,The movie is such a polemic in favor of open immigration and such an attempt to demonize (through strategic cutting) the anti-immigration forces that it plays more like a propaganda piece.,Most of us are good people when we're sitting around the dinner table. What happens to us as soon as we step up to the public podium?
3700,1 hr. 38 min.,Jun'ichi Fujisaku,2011,Eriko Hirata,Haruo Satou,Kanae Oki,Hiromi Igarashi,Marina Inoue,Miyuki Sawashiro,0,53,,,,,
3701,1 hr. 45 min.,Nupur Asthana,2011,Nishant Dahiya,Saba Azad,Saqib Saleem,Tara Desouza,Saba Azaad,Tara D'Souza,0,56,,,,,
3702,1 hr. 29 min.,John V. Soto,2010,Michael Dorman,Travis Fimmel,Trilby Glover,Jessica Marais,Nathaniel Buzolic,Khan Chittenden,0,40,"While it may not be innovative or stylistically impressive, this modest horror flick still delivers decent scares.","Taking a fresh twist on the college campus serial killer sub genre of horror, John V. Soto delivers an engaging and well executed supernatural thriller in which mechanical voodoo (not the hip hop band) is the weapon of choice for the killer","To the film's credit, it lacks the smug self-awareness that predominates the modern teen horror genre, but that commitment to integrity gives Needle a retro familiarity that the key demographic may find a little too quaint.",,
3703,1 hr. 53 min.,Renny Harlin,2011,Rupert Friend,Richard Coyle,Emmanuelle Chriqui,Heather Graham,Johnathon Schaech,Rade Serbedzija,33,36,An action movie scarcely deeper than a Michael Bay extravaganza.,"Harlin's film begins with the familiar adage that truth is the first casualty of war. Usually that phrase precedes an attempt to revive the patient, not bury it deeper in the rubble of propaganda.","The plot is culled from a variety of ""war is hell but I'm covering it anyway"" journalist-in-the-field movies but handled with clichÃ©d clumsiness in a script by David Battle and doctored by Finnish writer Mikko Alanne.",Flimsy dramatization of Russia/Georgia conflict fails both as historical re-enactment and as action-flick thrill ride.,"As propaganda, 5 Days Of War is unlikely to make a mark, though perhaps the idea of reaching people through would-be blockbusters will."
3704,1 hr. 22 min.,Miguel ÃÅngel Vivas,2011,Fernando Cayo,Manuela VellÃ©s,Ana Wagener,Guillermo Barrientos,Martijn Kuiper,Dritan Biba,33,50,"Survival horror has rarely been approached so sparingly and yet, for all there is to admire... the initial sense of potential suspense gives way to the creeping contempt of familiarity.","Starting as a coldly realistic thriller, this film eventually loses its bearings as the director Miguel ÃÅngel Vivas succumbs to a fit of nihilism, transforming ""Kidnapped"" into gruesome tit-for-tat torture porn.","My eyes never left the screen and my attention never wandered; in a restricted, technical sense of the term, ""Kidnapped"" is a masterpiece.","While Kidnapped doesn't add anything substantially new to the tradition, Vivas hits his marks with ruthless efficiency.","Gripping but grueling, this Spanish debut feature scores on technical prowess but its nihilistic viciousness is hard to take."
3705,1 hr. 47 min.,Lone Scherfig,2011,Anne Hathaway,Jim Sturgess,Tom Mison,Jodie Whittaker,Tim Key,Rafe Spall,36,49,"For everyone who's grown tired of the summer onslaught of superheroes, save-the-world plots and explosions, Hollywood finally offers some decent counter-programming in the form of the brainy romance One Day.",Ends better than it begins -- or middles.,I couldn't help but feel the film was lent shades of colour by the book; colour that simply doesn't exist on the screen. I projected 435 pages of joy onto a film that probably didn't deserve it.,"An average romantic dramedy, 'One Day' tips its hand so early in the game that you won't be a bit surprised by anything that ensues.",...you can't help feeling this dreary tale could have done with a bit of fancy editing or narrative reconstruction.
3706,1 hr. 31 min.,Miranda July,2011,Hamish Linklater,Miranda July,David Warshofsky,Isabella Acres,Joe Putterlik,Kathleen Gati,71,54,"Not a crowd-pleaser by any measure, but a mature, bold and recklessly inquisitive film, however unpleasant it is to consume in the moment.","Miranda July may be a bit too weird for her own good. On the other hand, it is a glorious weird.",Provides plenty of material for July junkies as well as July detractors.,"Parece apenas interessado em lanÃ§ar o meme dos ""Lolcatz"" como gÃªnero cinematogrÃ¡fico.",Miranda July takes the twee and cute thing WAY too far this time
3707,1 hr. 32 min.,Mike Cahill,2011,Brit Marling,Matthew-Lee Erlbach,D.J. Flava,William Mapother,Meggan Lennon,A.J. Diana,63,66,"Buried within Another Earth's framework is a wonderful sci-fi movie, but Cahill and Marling have unfortunately set it amongst this otherwise drab and predictable human drama.","The wildly improbable set-up is merely the jumping off point for an exploration of grief, guilt and redemption","I didn't hate Another Earth so much as I found it to have begun with a fascinating sci fi premise only to produce, ultimately, a conventional relationship film.","Another Earth occasionally slips into chin-stroking pretention, but it flies the flags for indies with ideas bigger than their budgets.",Another Earth doesn't fully come off - the slow pace stops it achieving escape velocity - but the intriguing ideas and Marling's touching performance make it a promising debut.
3708,1 hr. 26 min.,Rob Kirbyson,2011,Bobby Coleman,Josh Flitter,Ray Liotta,Bobb'e J. Thompson,Christian Martyn,Christopher Lloyd,67,65,A surprisingly effective debut effort from writer-director Robert Kirbyson.,,"Drama has positive messages; bullying and iffy humor, too.","Much like the kids in this movie who come of age, so too does Robert Kirbyson's skill as a writer-director in his debut film Snowmen.",The kids are charming and the supporting cast lift this comedy from above its direct-to-video ambitions.
3709,1 hr. 29 min.,George B. Seitz,2001,Mickey Rooney,Judy Garland,Lewis Stone,Fay Holden,Cecilia Parker,Sara Haden,0,92,It's classic Andy: he gets his comeuppance and then gets his happy ending. It's also a superb [jUDY] Garland turn.,,,,
3710,1 hr. 27 min.,George B. Seitz,1939,Mickey Rooney,Lewis Stone,Cecilia Parker,Ann Rutherford,Fay Holden,Sara Haden,0,57,You can also see the jalopy humor becoming one of the defining elements of the Andy Hardy series here.,,,,
3711,1 hr. 22 min.,Dan J. Lantz,2011,Jesse Archer,Ronnie Kroell,Kristen-Alexzander G...,Jodie Shultz,Jake Steel,Michael Mcfadden,0,17,,,,,
3712,1 hr. 59 min.,Zhang Meng,2010,Wang Quian-Yuan,Qin Hailu,Shin-yeong Jang,Wang Qian-Yuan,Qianyuan Wang,Qin Hai-lu,0,88,"""Workers can do anything""",A mildly humorous tale set in northern China about a project designed to bring more beauty to a disgustingly ugly environment.,,,
3713,1 hr. 30 min.,Liz Garbus,2011,Gary Kasparov,David Edmonds,Dick Cavett,Harry Benson,Henry Kissinger,Boris Spassky,87,86,"A once-in-a-lifetime character makes for a fascinating documentary subject in producer-director Liz Garbus' ""Bobby Fischer Against the World.""","Liz Garbus's documentary about the great American chess champion Bobby Fischer does its level best to avoid the easy clichÃ© equating madness and genius, except that, in the case of Fischer, the clichÃ© apparently holds up.",Tactfully but strongly posits a connection between the genius he brought to an infinitely complex game and the madness that defined his relationship to just about everything else.,"Supplies a cracked, conflicted genius trapped in his ceaseless endgame.",Garbus handles this decline with tact. The sorry spectacle of the ranting codger never effaces the image of the boy concentrating his entire being over a chessboard. You have to love that kid and pity him.
3714,1 hr. 46 min.,Oliver Schmitz,2011,Khomotso Manyaka,Keaobaka Makanyane,Harriet Manamela,Lerato Mvelase,Tinah Mnumzana,Aubrey Poolo,82,82,A well-meaning but ploddingly earnest after-school special...,"""Life, Above All"" earns the tears it inspires. The film is about deep human emotions, evoked with sympathy and love.","Perseverance is the theme of ""Life, Above All,"" a drama that is deeply affecting, if also overwhelmingly bleak.",There is less in-your-face grit in Cape Town-born director Oliver Schmitz's vision for this film than there is a careful pacing of somber revelations.,"In such a bleak story, the redemptive ending seems rushed and unconvincing, but director Oliver Schmitz has sent us a timely dispatch from a forgotten corner of the world that is honest above all."
3715,1 hr. 58 min.,Tung-Shing Yee,2010,Louis Koo,Daniel Wu,Alex Fong Chung Shun,Bingbing Li,Charlene Choi,Chapman To,0,45,,,,,
3716,1 hr. 30 min.,Craig Clyde,2011,Kristy Swanson,Tess Harper,Edward Herrmann,Bart Johnson,K.C. Clyde,Danielle Chuchran,0,70,,,,,
3717,1 hr. 42 min.,Wagner de Assis,2011,Renato Prieto,Fernando Alves Pinto,Rosane Mulholland,Inez Viana,Rodrigo dos Santos,Werner SchÃ_nemann,0,80,,,,,
3718,1 hr. 26 min.,Stephen T. Kay,2011,Tracy Pollan,Amy Gumenick,Stephen Amell,Grant Show,Michael Beach,Julio Oscar Mechoso,0,29,,,,,
3719,1 hr. 25 min.,Robin Nations,2011,Jon Michael Davis,Farah White,Richard Dillard,Mona Lee Fultz,Maurice Ripke,,0,43,Heartfelt dog drama about grief has grown-up emotion.,,,,
3720,1 hr. 30 min.,Marcie Gorman and Shayne Leighton,2010,Alexandra Santanna,Donna Lisa,Frantisek Mach,Melvin Lima,Michael Nouri,Shayne Leighton,0,80,,,,,
3721,1 hr. 27 min.,Alexei Kaleina,2010,Ana Asensio,Jicky Schnee,Michael Kelly,Rip Torn,Morgan Taddeo,Rhoda Pauley,63,86,"It's hard to embrace this glacially paced, symbolism-heavy film's elusive - when it's not being elliptical - story about a city couple's escape to rural life.","Unfortunately, the subdued tone only adds distance, not depth, to their unstated issues.",Promises more illumination than it delivers.,"Afterlight proceeds without much discernible plot or character development, its objects and places exuding more backstory than its people, though Rip Torn as the father of the sole male protagonist lends a certain woodsy authenticity.","Tempering the film's oppressive emotions, the cinematographer ZoÃ« White's exquisite compositions charge leaden rain clouds and rustling branches with eerie life, and dusty indoor corners with shadowy secrets."
3722,2 hr. 17 min.,Tate Taylor,2011,Emma Stone,Viola Davis,Bryce Dallas Howard,Octavia Spencer,Jessica Chastain,Ahna O'Reilly,76,89,"Is it really appropriate for us to all stand up and applaud this courageous, fictional white gIrl?",Taylor's palpably meandering sensibilities are exacerbated by an almost comically overlong running time...,Lifetime Channel movie with paternalistic liberalism bordering on Paula Deen malignity.,A great story and a wonderful cast combine to make this drama a must-see.,"If you think the summer has been lacking in sophisticated adult entertainment, don't worry, 'The Help' is on the way."
3723,2 hr. 5 min.,Lucas Belvaux,2011,Yvan Attal,Anne Consigny,AndrÃ© Marcon,Francoise Fabian,Alex Descas,Michel VoÃ¯ta,97,66,"""Rapt'' is smooth, cool, and efficient. It's a movie with very little wasted motion - or, for much of its length, wasted emotion.","What lends ""Rapt"" its fascination is that it represents such a dramatic fall from grace for its hero.","""Rapt"" fuses strands of dramatic tension in a shrewd enough way that it even saves its sharpest cuts for the kidnapping's aftermath, when a well-heeled life laid bare must reconcile with a much different form of enforced solitude.","What distinguishes ""Rapt"" from other kidnapping movies is that, virtually as soon as he is abducted, details of his life start coming out.","Both a compelling character study and a handsomely mounted procedural, at various times suggesting Hitchcock, his French acolyte Claude Chabrol, the sadistic TV series ""24"" and the action movies of Michael Mann."
3724,1 hr. 36 min.,Francesca Gregorini,2011,Rooney Mara,Georgia King,Brie Larson,Amy Ferguson,Tom Everett Scott,Amy Sedaris,12,26,"Codirectors Francesca Gregorini and Tatiana von Furstenberg work up some believable, easygoing rapport between the young actresses, but since the story line is hackneyed, it's rapport in a vacuum.","Rarely rises above the generic, though its atmosphere of coddled young people indulging themselves in opulent surroundings is palpably authentic.",Ultimately not even the gifted Mara can keep the film from feeling like a gauzy portrait of privilege.,"The performances aren't bad, but the film quickly collapses into an incoherent, tonally inconsistent muddle with no narrative momentum.","Allows room for a lot of thinking about other things - its cast most notably, since watching their struggle to move beyond the mundane is painful."
3725,1 hr. 53 min.,John Madden,2011,Helen Mirren,Sam Worthington,Jessica Chastain,Jesper Christensen,Marton Csokas,Tom Wilkinson,76,66,How can the film convincingly preach via Ms. Mirren's voice-over that truth is more valuable than justice while her character is exacting vengeance on screen?,"Younger audiences will likely find The Debt too slow for their liking, but what it lacks in realistic casting it gains in meatily plotted espionage and weighty drama.","A taut and complex thriller, this movie won't be easy for forget.","Tense, intelligent entertainment. That's rare, and that is more than enough.","A taut, historical thriller about the capture of one of Nazism's most evil."
3726,1 hr. 37 min.,Wade McDonald,2011,Chad Ford,Scott Higgins,Aleisha Force,Tyler Brockington,Blair Dickens,,0,0,,,,,
3727,1 hr. 55 min.,William Clift,2011,Ashleigh Sumner,Emrhys Cooper,Jane Wiedlin,Jessica Gardner,Kristian Steel,Lisa Franks,0,0,,,,,
3728,1 hr. 46 min.,Maryam Keshavarz,2011,Nikohl Boosheri,Sarah Kazemy,Reza Sixo Safai,Soheil Parsa,Nasrin Pakkho,Nasrin Pakkhoo,85,68,"The content feels familiar, but the perspective is fresh.","Keshavarz, who was born in New York City and grew up in the U.S. and Iran, shows us how young people in Tehran get around the constrictive system...","We never doubt the sincerity of the emotions on display, or of the foretaste Circumstance provides of a society on the brink of radical change.","About a sexy, frank and politically contentious Iranian film, two things can be known for a certainty: (a) It sure wasn't made in Iran and (b) It won't be shown there either.",[The] film is too much a wounded love story to slide into polemic.
3729,1 hr. 45 min.,Rupert Wyatt,2011,James Franco,Freida Pinto,Andy Serkis,John Lithgow,Brian Cox,Tom Felton,82,77,"Caesar [the main ape] is the reason to see this daft, breathless picture.","If you're a fan of the series, you'll love it; if you're not a fan it may make you one.","Save Christopher Nolan's ""Batman,"" no film so brilliantly reinvigorated a franchise more than this, a thrilling opening act that's equally captivating and leaves you anxiously awaiting the next installment.","Rise of the Planet of the Apes has some life to it as an action film, but every time anyone opens their mouth, man or beast, you'll feel like someone figured out a way to sneak in groundbreaking CGI into your middle schooler's class play.","Overall, Rise of the Planet of the Apes is intermittently entertaining with a few nice nods to the original series."
